Team Name,League,Team,Division,Rank,Games,Wins,Losses,DivWin,WCWin,League Win,WSWin,Runs,At Bat,Hits,Doubles,Triples,Home Runs,Bases on Balls,Strike Outs,Stolen Bases,Caught Stealing,Hits by Pitch,Sacrifice Flies,Runs Allowed,Earned Runs,Earned Run Average,Complete Games,Shut Outs,Saves,Hits Allowed,Home Runs Allowed,Bases on Balls Allowed,Errors,Double Plays,Fielding Percentage
Arizona Diamondbacks,NL,ARI,W,3,162,82,80,N,N,N,N,693,5460,1283,259,50,176,560.0,1460.0,79.0,25.0,52.0,45.0,644,605,3.72,2,9,39,1313,174,522,75,152,0.988
Atlanta Braves,NL,ATL,E,1,162,90,72,Y,N,N,N,759,5582,1433,314,29,175,511.0,1290.0,90.0,36.0,66.0,43.0,657,607,3.75,2,11,40,1236,153,635,80,134,0.986
Baltimore Orioles,AL,BAL,E,5,162,47,115,N,N,N,N,622,5507,1317,242,15,188,422.0,1412.0,81.0,22.0,57.0,35.0,892,824,5.18,2,7,28,1552,234,589,104,159,0.982
Boston Red Sox,AL,BOS,E,1,162,108,54,Y,N,Y,Y,876,5623,1509,355,31,208,569.0,1253.0,125.0,31.0,55.0,48.0,647,608,3.75,2,14,46,1305,176,512,77,106,0.987
Chicago White Sox,AL,CHA,C,4,162,62,100,N,N,N,N,656,5523,1332,259,40,182,425.0,1594.0,98.0,41.0,66.0,32.0,848,772,4.84,0,8,34,1405,196,653,114,135,0.981
Chicago Cubs,NL,CHN,C,2,163,95,68,N,Y,N,N,761,5624,1453,286,34,167,576.0,1388.0,66.0,38.0,78.0,46.0,645,598,3.65,1,18,46,1319,157,622,104,155,0.983
Cincinnati Reds,NL,CIN,C,5,162,67,95,N,N,N,N,696,5532,1404,251,25,172,559.0,1376.0,77.0,33.0,65.0,35.0,819,741,4.63,1,6,38,1491,228,532,95,144,0.984
Cleveland Indians,AL,CLE,C,1,162,91,71,Y,N,N,N,818,5595,1447,297,19,216,554.0,1189.0,135.0,36.0,80.0,44.0,648,611,3.77,5,17,41,1349,200,407,83,123,0.986
Colorado Rockies,NL,COL,W,2,163,91,72,N,Y,N,N,780,5541,1418,280,42,210,507.0,1397.0,95.0,33.0,51.0,37.0,745,699,4.33,0,10,51,1378,184,525,74,162,0.988
Detroit Tigers,AL,DET,C,3,162,64,98,N,N,N,N,630,5494,1326,284,35,135,428.0,1341.0,70.0,30.0,52.0,40.0,796,726,4.58,0,2,37,1423,216,491,95,126,0.984
Houston Astros,AL,HOU,W,1,162,103,59,Y,N,N,N,797,5453,1390,278,18,205,565.0,1197.0,71.0,26.0,61.0,45.0,534,503,3.11,3,12,46,1164,152,435,63,116,0.989
Kansas City Royals,AL,KCA,C,5,162,58,104,N,N,N,N,638,5505,1350,283,29,155,427.0,1310.0,117.0,38.0,67.0,40.0,833,786,4.94,2,8,33,1542,205,549,77,142,0.987
Los Angeles Angels of Anaheim,AL,ANA,W,4,162,80,82,N,N,N,N,721,5472,1323,249,23,214,514.0,1300.0,89.0,22.0,73.0,39.0,722,662,4.15,1,9,35,1353,205,546,76,173,0.987
Los Angeles Dodgers,NL,LAN,W,1,163,92,71,Y,N,Y,N,804,5572,1394,296,33,235,647.0,1436.0,75.0,24.0,61.0,39.0,610,554,3.38,0,11,48,1279,179,422,100,111,0.983
Miami Marlins,NL,MIA,E,5,161,63,98,N,N,N,N,589,5488,1303,222,24,128,455.0,1384.0,45.0,31.0,73.0,31.0,809,762,4.76,1,12,30,1388,192,605,83,133,0.986
Milwaukee Brewers,NL,MIL,C,1,163,96,67,Y,N,N,N,754,5542,1398,252,24,218,537.0,1458.0,124.0,32.0,58.0,41.0,659,606,3.73,0,14,49,1259,173,553,108,141,0.982
Minnesota Twins,AL,MIN,C,2,162,78,84,N,N,N,N,738,5526,1380,318,22,166,534.0,1328.0,47.0,27.0,37.0,38.0,775,721,4.5,2,7,37,1425,198,573,97,127,0.984
New York Yankees,AL,NYA,E,2,162,100,62,N,Y,N,N,851,5515,1374,269,23,267,625.0,1421.0,63.0,21.0,62.0,59.0,669,611,3.78,2,11,49,1311,177,494,94,95,0.984
New York Mets,NL,NYN,E,4,162,77,85,N,N,N,N,676,5468,1282,265,34,170,566.0,1404.0,71.0,39.0,73.0,42.0,707,661,4.07,3,15,41,1364,185,484,88,121,0.985
Oakland Athletics,AL,OAK,W,2,162,97,65,N,Y,N,N,813,5579,1407,322,20,227,550.0,1381.0,35.0,21.0,76.0,44.0,674,621,3.81,2,14,44,1303,184,474,89,125,0.985
Philadelphia Phillies,NL,PHI,E,3,162,80,82,N,N,N,N,677,5424,1271,241,30,186,582.0,1520.0,69.0,26.0,64.0,32.0,728,665,4.14,0,12,44,1366,171,500,123,138,0.979
Pittsburgh Pirates,NL,PIT,C,4,161,82,79,N,N,N,N,692,5447,1381,290,38,157,474.0,1229.0,70.0,38.0,59.0,52.0,693,637,4.0,3,16,40,1380,174,497,105,129,0.982
San Diego Padres,NL,SDN,W,5,162,66,96,N,N,N,N,617,5486,1289,250,30,162,471.0,1523.0,95.0,36.0,31.0,36.0,767,713,4.4,0,5,36,1430,185,519,100,127,0.983
Seattle Mariners,AL,SEA,W,3,162,89,73,N,N,N,N,677,5513,1402,256,32,176,430.0,1221.0,79.0,37.0,70.0,41.0,711,664,4.13,3,12,60,1396,195,400,88,152,0.985
San Francisco Giants,NL,SFN,W,4,162,73,89,N,N,N,N,603,5541,1324,255,30,133,448.0,1467.0,77.0,34.0,49.0,42.0,699,641,3.95,1,15,36,1387,156,524,97,160,0.984
